City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tiruchchendur,IN,88.09,broken clouds,8.4833,78.1167,Hotel Udhayam International
1,Rikitea,PF,77.13,light rain,-23.1203,-134.9692,People ThankYou
2,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
3,Hithadhoo,MV,83.66,broken clouds,-0.6,73.0833,Scoop Guest House
4,Touros,BR,76.15,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
5,Kaitangata,NZ,63.52,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
6,Anan,JP,74.98,few clouds,33.9167,134.65,Royal Garden Hotel
7,Mataura,NZ,60.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
8,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Mapiripan,CO,74.26,overcast clouds,2.8892,-72.1256,Monserrate
10,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Buala,SB,85.57,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
12,Yoichi,JP,60.48,light rain,43.2039,140.7703,Marumatta Farm 21
13,Busselton,AU,65.7,clear sky,-33.65,115.3333,Observatory Guest House
14,Qunduz,AF,79.56,clear sky,36.729,68.857,Spin Zar cotton company
15,Pedra Azul,BR,69.03,overcast clouds,-16.0053,-41.2972,Pousada Pedra Azul
16,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
17,Batemans Bay,AU,60.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
18,Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
19,Caravelas,BR,73.54,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
20,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
21,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Bengkulu,ID,82.33,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Muroto,JP,67.17,clear sky,33.2833,134.15,Oota Ryokan
24,San Patricio,US,80.49,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
25,Chigorodo,CO,74.52,overcast clouds,7.6664,-76.6811,Hotel Las Guaduas Del Darien
26,Antofagasta,CL,61.88,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
27,Santiago Del Estero,AR,62.11,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
28,Wamba,NG,75.11,light rain,8.9333,8.6,Roma Zee Guest House Annex
29,Quelimane,MZ,66.42,clear sky,-17.8786,36.8883,Hotel Flamingo
30,Manakara,MG,71.67,light rain,-22.1333,48.0167,La Residence Manakara
31,Pacific Grove,US,62.82,few clouds,36.6177,-121.9166,Lovers Point Inn
32,Manokwari,ID,84.45,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
33,San Jose,US,66.99,broken clouds,37.3394,-121.895,The Westin San Jose
34,Yamada,JP,64.83,few clouds,39.4667,141.95,Iroha-ya Inn
35,Bluff,NZ,60.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
36,Faya,SA,60.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
37,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Boa Viagem,BR,72.19,overcast clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
39,Richards Bay,ZA,62.78,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
40,Doha,QA,85.98,overcast clouds,25.2867,51.5333,Movenpick Hotel Doha
41,Gladstone,AU,82.78,light rain,-23.85,151.25,Highpoint International Hotel
42,Vung Tau,VN,85.84,overcast clouds,10.346,107.0843,Seaside Resort
43,Port Blair,IN,82.44,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
44,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Luoyang,CN,71.13,scattered clouds,34.6836,112.4536,易家国际青年旅舍
46,Victoria,HK,80.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
47,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
48,Saint George,US,85.24,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
49,Sao Filipe,CV,74.1,scattered clouds,14.8961,-24.4956,Hotel Xaguate
50,Butaritari,KI,81.64,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
51,Cabo San Lucas,MX,74.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
52,Eirunepe,BR,74.53,broken clouds,-6.6603,-69.8736,Atrás de você
