City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiruchchendur,IN,22-05-07 03:18:32,8.4833,78.1167,88.09,88.09,62,58,8.59,broken clouds
1,Rikitea,PF,22-05-07 03:17:27,-23.1203,-134.9692,77.13,77.13,85,100,13.02,light rain
2,Alofi,NU,22-05-07 03:18:33,-19.0595,-169.9187,76.89,76.89,94,69,5.75,broken clouds
3,Hithadhoo,MV,22-05-07 03:18:34,-0.6,73.0833,83.66,83.66,76,58,14.56,broken clouds
4,Touros,BR,22-05-07 03:18:34,-5.1989,-35.4608,76.15,76.15,92,85,10.2,overcast clouds
5,Kaitangata,NZ,22-05-07 03:18:35,-46.2817,169.8464,63.52,63.52,64,100,3.44,overcast clouds
6,Port Hardy,CA,22-05-07 03:18:35,50.6996,-127.4199,48.38,46.4,66,20,10.36,few clouds
7,Punta Arenas,CL,22-05-07 03:18:36,-53.15,-70.9167,44.71,44.11,87,100,9.22,light rain
8,Kajaani,FI,22-05-07 03:18:37,64.2273,27.7285,44.65,44.65,65,0,11.5,clear sky
9,Anan,JP,22-05-07 03:18:37,33.9167,134.65,74.98,74.98,69,24,4.21,few clouds
10,Ushuaia,AR,22-05-07 03:18:38,-54.8,-68.3,42.46,42.46,81,75,5.75,broken clouds
11,Provideniya,RU,22-05-07 03:18:38,64.3833,-173.3,31.98,31.98,86,58,10.51,broken clouds
12,Mataura,NZ,22-05-07 03:18:39,-46.1927,168.8643,60.48,60.48,72,98,2.89,overcast clouds
13,Cape Town,ZA,22-05-07 03:16:32,-33.9258,18.4232,57.88,55.27,89,75,13.8,broken clouds
14,Mahebourg,MU,22-05-07 03:18:40,-20.4081,57.7,75.49,75.25,83,40,16.11,scattered clouds
15,Mapiripan,CO,22-05-07 03:18:40,2.8892,-72.1256,74.26,74.26,93,100,1.23,overcast clouds
16,Saint-Philippe,RE,22-05-07 03:18:41,-21.3585,55.7679,69.39,69.39,84,46,11.95,scattered clouds
17,Berlevag,NO,22-05-07 03:18:41,70.8578,29.0864,39.0,39.0,97,100,12.26,overcast clouds
18,Qaanaaq,GL,22-05-07 03:18:42,77.484,-69.3632,12.04,12.04,82,100,3.4,overcast clouds
19,Saskylakh,RU,22-05-07 03:13:48,71.9167,114.0833,16.72,16.72,85,93,20.8,overcast clouds
20,Buala,SB,22-05-07 03:16:26,-8.145,159.5921,85.57,85.57,71,100,8.7,overcast clouds
21,Yoichi,JP,22-05-07 03:18:43,43.2039,140.7703,60.48,60.48,61,100,0.34,light rain
22,Iskateley,RU,22-05-07 03:18:44,67.6803,53.1512,33.39,33.39,100,100,11.72,overcast clouds
23,Jamestown,US,22-05-07 03:18:45,42.097,-79.2353,51.03,48.72,93,100,9.22,moderate rain
24,Busselton,AU,22-05-07 03:18:45,-33.65,115.3333,65.7,65.7,51,0,9.8,clear sky
25,Kyabe,TD,22-05-07 03:18:46,9.4515,18.9449,79.52,79.52,68,97,6.46,overcast clouds
26,Tasiilaq,GL,22-05-07 03:18:46,65.6145,-37.6368,24.96,24.96,62,84,4.54,broken clouds
27,Qunduz,AF,22-05-07 03:18:47,36.729,68.857,79.56,79.56,34,0,1.19,clear sky
28,Portland,US,22-05-07 03:16:40,45.5234,-122.6762,55.11,49.93,87,100,8.99,light rain
29,Pedra Azul,BR,22-05-07 03:18:48,-16.0053,-41.2972,69.03,69.03,92,100,4.85,overcast clouds
30,Matagami,CA,22-05-07 03:17:35,49.7502,-77.6328,30.31,30.31,64,0,3.44,clear sky
31,Barrow,US,22-05-07 03:18:48,71.2906,-156.7887,21.22,21.22,93,100,16.11,overcast clouds
32,Georgetown,MY,22-05-07 03:18:49,5.4112,100.3354,89.55,86.95,70,20,8.05,few clouds
33,Batemans Bay,AU,22-05-07 03:17:46,-35.7167,150.1833,60.1,60.1,37,0,11.52,clear sky
34,Strezhevoy,RU,22-05-07 03:14:46,60.7333,77.5889,23.94,23.94,89,100,28.41,snow
35,San Vicente,AR,22-05-07 03:18:50,-26.6167,-54.1333,50.83,50.83,92,85,2.73,overcast clouds
36,Warrington,GB,22-05-07 03:18:50,53.3925,-2.5802,52.79,47.34,94,75,3.44,broken clouds
37,Port Alfred,ZA,22-05-07 03:18:51,-33.5906,26.891,60.19,60.19,88,92,1.99,overcast clouds
38,Caravelas,BR,22-05-07 03:18:51,-17.7125,-39.2481,73.54,73.54,88,100,0.67,overcast clouds
39,Ribeira Grande,PT,22-05-07 03:18:52,38.5167,-28.7,60.8,60.8,68,62,4.38,broken clouds
40,Hilo,US,22-05-07 03:18:53,19.7297,-155.09,82.27,72.1,85,100,4.61,overcast clouds
41,Bengkulu,ID,22-05-07 03:18:53,-3.8004,102.2655,82.33,82.33,73,83,10.22,broken clouds
42,Muroto,JP,22-05-07 03:18:54,33.2833,134.15,67.17,67.17,71,1,3.62,clear sky
43,San Patricio,US,22-05-07 03:18:54,28.017,-97.5169,80.49,77.72,80,13,14.72,few clouds
44,Chigorodo,CO,22-05-07 03:19:56,7.6664,-76.6811,74.52,74.52,95,98,1.57,overcast clouds
45,Upernavik,GL,22-05-07 03:19:57,72.7868,-56.1549,2.98,2.98,85,4,6.11,clear sky
46,Pangnirtung,CA,22-05-07 03:19:57,66.1451,-65.7125,7.86,7.86,91,96,6.26,overcast clouds
47,Albany,US,22-05-07 03:15:15,42.6001,-73.9662,52.39,48.61,43,100,5.95,overcast clouds
48,Bredasdorp,ZA,22-05-07 03:19:58,-34.5322,20.0403,55.94,55.94,93,100,4.97,moderate rain
49,Nikolskoye,RU,22-05-07 03:19:58,59.7035,30.7861,50.72,45.91,93,33,6.91,scattered clouds
50,Antofagasta,CL,22-05-07 03:19:59,-23.65,-70.4,61.88,61.88,89,74,6.82,broken clouds
51,Santiago Del Estero,AR,22-05-07 03:20:00,-27.7951,-64.2615,62.11,62.11,59,100,6.44,overcast clouds
52,Wamba,NG,22-05-07 03:20:00,8.9333,8.6,75.11,75.11,86,100,2.51,light rain
53,Airai,TL,22-05-07 03:20:01,-8.9266,125.4092,69.62,69.62,78,70,3.67,broken clouds
54,Lavrentiya,RU,22-05-07 03:20:01,65.5833,-171.0,27.46,27.46,84,37,4.94,scattered clouds
55,Quelimane,MZ,22-05-07 03:20:02,-17.8786,36.8883,66.42,66.42,98,8,3.22,clear sky
56,Verkhoyansk,RU,22-05-07 03:20:03,67.5447,133.385,31.78,31.78,83,99,5.44,overcast clouds
57,Manakara,MG,22-05-07 03:20:03,-22.1333,48.0167,71.67,71.67,93,100,6.4,light rain
58,Shelburne,CA,22-05-07 03:20:04,44.0787,-80.2041,50.13,47.19,45,100,13.18,overcast clouds
59,Epsom,GB,22-05-07 03:20:04,51.3305,-0.2701,55.78,51.98,89,100,1.99,overcast clouds
60,Korgen,NO,22-05-07 03:20:05,66.0771,13.8153,37.72,37.18,97,100,22.01,overcast clouds
61,Pacific Grove,US,22-05-07 03:18:27,36.6177,-121.9166,62.82,54.09,86,20,8.05,few clouds
62,Manokwari,ID,22-05-07 03:20:06,-0.8667,134.0833,84.45,84.45,71,88,6.82,overcast clouds
63,Tuktoyaktuk,CA,22-05-07 03:20:06,69.4541,-133.0374,28.4,28.4,86,75,3.44,broken clouds
64,Gornozavodsk,RU,22-05-07 03:16:16,58.3758,58.3211,38.21,38.21,66,65,9.66,broken clouds
65,Lata,PT,22-05-07 03:20:07,40.1629,-8.3327,54.07,54.07,74,25,3.15,scattered clouds
66,San Jose,US,22-05-07 03:16:00,37.3394,-121.895,66.99,56.39,71,75,19.57,broken clouds
67,Thompson,CA,22-05-07 03:15:12,55.7435,-97.8558,55.56,55.56,54,100,2.3,overcast clouds
68,Yamada,JP,22-05-07 03:20:09,39.4667,141.95,64.83,64.83,67,12,16.73,few clouds
69,Bluff,NZ,22-05-07 03:20:09,-46.6,168.3333,60.8,60.8,68,100,13.96,light rain
70,Faya,SA,22-05-07 03:20:10,18.3851,42.4509,60.91,57.72,55,7,2.33,clear sky
71,Redmond,US,22-05-07 03:16:11,47.674,-122.1215,52.09,47.37,84,100,4.0,moderate rain
72,Souillac,MU,22-05-07 03:20:10,-20.5167,57.5167,75.58,75.58,83,40,16.11,scattered clouds
73,Boa Viagem,BR,22-05-07 03:20:11,-5.1275,-39.7322,72.19,72.19,84,98,1.1,overcast clouds
74,Valley City,US,22-05-07 03:20:03,46.9233,-98.0032,57.72,57.72,94,0,8.05,clear sky
75,Richards Bay,ZA,22-05-07 03:20:12,-28.783,32.0377,62.78,62.78,71,0,4.36,clear sky
76,New Norfolk,AU,22-05-07 03:20:12,-42.7826,147.0587,54.9,48.9,82,100,7.0,moderate rain
